,index,artist_id,artist_name,album_id,album_title,release_date
57,57,1168,SMTOWN,8000384,Winter Vacation In SMTown.com,2000.12
58,58,1168,보아 (BoA),457,ID; Peace B,2000.08.25
59,0,1168,보아 (BoA),20529294,Forgive Me - The 3rd Mini Album,2022.11.22
60,1,1168,보아 (BoA),20480100,Better (对峙),2022.07.18
61,2,1168,보아 (BoA),20470618,The Greatest,2022.05.30
62,3,1168,보아 (BoA),20469190,LISTEN TO MY HEART (The Greatest Ver.),2022.05.23
63,4,1168,보아 (BoA),20467754,Sweet Impact (The Greatest Ver.),2022.05.16
64,5,1168,보아 (BoA),20466549,LOVE LETTER (The Greatest Ver.),2022.05.09
65,6,1168,보아 (BoA),20464953,QUINCY (The Greatest Ver.),2022.05.02
66,7,1168,보아 (BoA),20463948,Every Heart -ミンナノキモチ／Minnanokimochi- (The Greatest Ver.),2022.04.25
67,8,1168,보아 (BoA),20462607,コノヨノシルシ／KONOYONOSHIRUSHI (The Greatest Ver.),2022.04.18
68,9,1168,보아 (BoA),20461218,DO THE MOTION (The Greatest Ver.),2022.04.11
69,10,1168,보아 (BoA),20459822,抱きしめる／DAKISHIMERU (The Greatest Ver.),2022.04.04
70,11,1168,보아 (BoA),20458289,make a secret (The Greatest Ver.),2022.03.28
71,12,1168,보아 (BoA),20457029,AGGRESSIVE (The Greatest Ver.),2022.03.21
72,13,1168,보아 (BoA),20430347,My Dear,2021.11.05
73,14,1168,보아 (BoA),20364322,BETTER – The 10th Album,2020.12.01
74,15,1168,보아 (BoA),20358133,I believe,2020.11.04
75,16,1168,보아 (BoA),20305987,BoA LIVE TOUR 2019 #mood,2020.02.20
76,17,1168,보아 (BoA),20293912,Starry Night - The 2nd Mini Album,2019.12.11
77,18,1168,보아 (BoA),20285518,Wishing Well,2019.11.11
78,19,1168,보아 (BoA),20275125,"BoA THE LIVE 2018 ""X'mas""",2019.09.05
79,20,1168,보아 (BoA),20258010,Feedback,2019.06.04
80,21,1168,보아 (BoA),20243337,スキだよ -MY LOVE-／SUKIDAYO -MY LOVE-,2019.04.04
81,22,1168,보아 (BoA),20221003,AMOR,2019.01.25
82,23,1168,보아 (BoA),20202683,WOMAN - The 9th Album,2018.10.24
83,24,1168,보아 (BoA),20157383,Unchained,2018.04.03
84,25,1168,보아 (BoA),20151812,私このままでいいのかな (Watashi konomamade iinokana),2018.03.07
85,26,1168,보아 (BoA),20148749,"ONE SHOT, TWO SHOT - The 1st Mini Album",2018.02.20
86,27,1168,보아 (BoA),20145201,내가 돌아 (NEGA DOLA),2018.01.31
87,28,1168,Siedah Garrett,20142083,Man in the Mirror (LIVE) - SM STATION,2018.01.16
88,29,1168,보아 (BoA),20119108,"Right Here, Right Everywhere",2017.09.18
89,30,1168,Various Artists,20111924,최고의 한방 (KBS2 금토드라마) OST,2017.08.04
90,31,1168,보아 (BoA),20104910,CAMO,2017.06.26
91,32,1168,보아 (BoA),20104673,최고의 한방 (KBS2 금토드라마) OST - Part.4,2017.06.23
92,33,1168,보아 (BoA),20095436,봄비 (Spring Rain) - SM STATION,2017.04.28
93,34,1168,보아 (BoA),20041014,No Matter What - SM STATION,2016.06.17
94,35,1168,보아 (BoA),20020750,Make Me Complete,2016.02.05
95,36,1168,보아 (BoA),20014177,Christmas Paradise - WINTER GARDEN,2015.12.22
96,37,1168,보아 (BoA),20013415,Lookbook,2015.12.16
97,38,1168,보아 (BoA),501271,Kiss My Lips - The 8th Album,2015.05.12
98,39,1168,보아 (BoA),467726,Fly (일본발매싱글),2014.12.03
99,40,1168,보아 (BoA),449252,Who's Back? (일본발매앨범),2014.09.03
100,41,1168,보아 (BoA),441630,MASAYUME CHASING (일본발매싱글),2014.07.23
101,42,1168,보아 (BoA),417192,Shout It Out (일본발매싱글),2014.03.05
102,43,1168,보아 (BoA),393257,Message / Call My Name (일본발매싱글),2013.10.23
103,44,1168,Various Artists,383559,상어 (KBS 월화드라마) OST,2013.08.14
104,45,1168,보아 (BoA),381139,2013 광주디자인비엔날레 로고송 'Action',2013.07.31
105,46,1168,보아 (BoA),376366,Tail Of Hope (일본발매싱글),2013.07.03
106,47,1168,보아 (BoA),376365,Only One (일본발매싱글),2013.07.03
107,48,1168,보아 (BoA),370656,상어 (KBS 월화드라마) OST '천국과 지옥 사이',2013.05.27
108,49,1168,보아 (BoA),356144,그런 너,2013.01.28
109,50,1168,보아 (BoA),344641,Younique Album Lookin',2012.10.16
110,51,1168,보아 (BoA),335937,BoA The 7th Album 'Only One',2012.07.22
111,52,1168,보아 (BoA),324278,One Dream - KPOP STAR Theme Song,2012.03.18
112,53,1168,보아 (BoA),316744,Milestone (일본발매싱글),2011.12.07
113,54,1168,Various Artists,261071,파라다이스 목장 (SBS 월화드라마),2011.02.09
114,55,1168,Various Artists,261070,파라다이스 목장 (SBS 월화드라마) - Part.2,2011.01.31
115,56,1168,보아 (BoA),255209,I See Me (일본발매싱글),2010.12.22
116,57,1168,보아 (BoA),238889,'Copy & Paste' BoA The 6th Repack Album,2010.09.24
117,58,1168,보아 (BoA),231769,Hurricane Venus,2010.08.05
118,59,1168,보아 (BoA),245029,Woo Weekend (일본발매싱글),2010.07.21
119,60,1168,보아 (BoA),217578,Identity (일본발매앨범),2010.02.10
120,61,1168,보아 (BoA),209361,まもりたい ~White Wishes~ (지키고 싶어) (일본발매싱글),2009.12.09
121,62,1168,보아 (BoA),203982,Bump Bump! (일본발매싱글),2009.10.28
122,63,1168,보아 (BoA),197141,BoA Deluxe - The 1st US Album Repackage,2009.09.01
123,64,1168,보아 (BoA),182093,BoA Best II (일본발매앨범),2009.03.18
124,65,1168,보아 (BoA),180241,BoA (미국발매앨범),2009.03.18
125,66,1168,보아 (BoA),178881,永遠 (영원) (일본발매싱글),2009.02.18
126,67,1168,보아 (BoA),166141,Eat You Up (미국발매싱글),2008.10.22
127,68,1168,보아 (BoA),157541,SBS 로고송,2008.06.19
128,69,1168,보아 (BoA),156935,Vivid (Maxi Single) (일본발매싱글),2008.06.11
